Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website,Apply Link,Duplicate Entries Merged
Taubman College Research on the City Grant,"Taubman College of Architecture + Urban Planning, UM",internal,"Urban Research, Architecture, Planning","~$19,000–$20,000",Internal annual cycle,Annual,No,Supports research projects engaging city and urban design questions.,Abrons CV (2014); Thün CV (2014),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College Equity Innovation Grant,"Taubman College of Architecture + Urban Planning, UM",internal,"Architecture, Education, Equity","~$15,000",Internal; periodic,Periodic,No,Supports equity-focused curriculum and pedagogical development projects.,Abrons CV (2018),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
OVPR Research Catalyst Grant,"Office of the Vice President for Research, UM",internal,"Architecture, Research, Interdisciplinary","~$12,000–$15,000",Internal competition,Annual,No,Small grants to catalyze new research directions. Broad eligibility across campus; good entry point for new research directions.,Miller CV (2023),https://research.umich.edu,https://research.umich.edu/funding/,1
OVPR UMOR Small Projects Grant,"Office of the Vice President for Research, UM",internal,"Architecture, Research","~$14,000–$15,000",Internal competition,Annual,No,General small research grants from the UM Office of Research. Frequently used alongside Taubman grants.,Thün CV (multiple),https://research.umich.edu,https://www.google.com/search?q=site%3Aresearch.umich.edu+%22OVPR+UMOR+Small+Projects+Grant%22+apply,1
International Institute Grants (multiple types),"International Institute, University of Michigan",internal,"Architecture, International, Area Studies","$1,000–$10,000 (varies by type)",Multiple cycles per year,Annual/Rolling,Yes,"Multiple grant types: Experiential Learning Fund, Performances, Workshop Grants, Collaboration Grants, Area Studies Grants. Used extensively for travel studios and international research.",Miller CV (2012–13; multiple),https://ii.umich.edu,https://research.umich.edu/funding/,1
ADVANCE Summer Writing Grant,University of Michigan ADVANCE Program,internal,"Architecture, Research, Writing","$1,500–$3,000",Annual (spring),Annual,No,Summer salary support for faculty writing projects. Particularly supports women and underrepresented faculty.,Miller CV (2017; 2018),https://advance.umich.edu,https://research.umich.edu/funding/,1
Rackham Dean's Strategic Initiative Fund,University of Michigan Rackham Graduate School,internal,"Architecture, Education, Graduate Programming","~$3,800",Internal; contact Rackham,Annual,No,Small funds for programming aligned with Rackham strategic priorities. Used for virtual lecture series on decarbonizing construction.,Miller CV (2021),https://rackham.umich.edu,https://rackham.umich.edu/funding/,1
Humanities Collaboratory Proposal Development Grant,University of Michigan Humanities Collaboratory,internal,"Humanities, Architecture, Interdisciplinary","~$58,000",Internal competition,Periodic,No,"Supports collaborative humanities research development. Used for 'Reparative AI' project exploring AI, equity, and digital culture.",Abrons CV (2024),https://humanitiescollaboratory.umich.edu,https://research.umich.edu/funding/,1
UM Urban Collaboratory Project Grants,University of Michigan Urban Collaboratory,internal,"Urban Design, Architecture, Mobility","$40,000–$60,000",Internal/partner-driven; ongoing,Ongoing,Yes,Applied urban research connecting faculty to city partners in Detroit and SE Michigan. Supports mobility hub prototyping and urban systems research.,Thün CV (2017),https://detroit.umich.edu/urban-collaboratory,https://research.umich.edu/funding/,1
Architect Magazine R&D Award Program,Architect Magazine,competition,"Architecture, Research, Technology, Materials",Publication + recognition,Annual (typically fall),Annual,No,"Recognizes innovative research and development in architecture practice. Multiple categories including materials, buildings, and tech.",Thün CV (2010 Excellence; 2016 HM),https://www.architectmagazine.com,https://www.architectmagazine.com/awards/r-d-awards,1
Mies Crown Hall Americas Prize for Emerging Architecture,IIT College of Architecture,competition,"Architecture, Emerging Practice",Prize + nomination recognition,Biennial; check MCAP site,Biennial,No,Biennial prize for emerging architecture practices in the Americas. Northwood ADU by T+E+A+M was a selected nominee.,Miller CV + Abrons CV (2023 nominee),https://www.mchap.co,https://www.mchap.co/award,1
The Architects Newspaper Best of Design Award,The Architects Newspaper,competition,"Architecture, Design, Materials",Prize + publication feature,Annual (fall),Annual,No,"Annual awards across many categories. T+E+A+M won for Living Picture (2017) and received HM for Clastic Order (New Materials, 2018).",Miller CV + Abrons CV (2017 winner; 2018 HM),https://www.archpaper.com,https://www.archpaper.com/awards-programs/,1
AZ Awards Program,Azure Magazine,competition,"Architecture, Design, Social Good",Prize + publication feature,Annual; check Azure site,Annual,No,Canadian design awards with strong international reach. Multiple categories. RVTR / Thün won in Social Good category for EXTRACTION exhibition (2017).,Thün CV (2017 winner – Social Good),https://www.azuremagazine.com,https://www.azuremagazine.com/awards/,1
Architizer A+ Award Program,Architizer,competition,"Architecture, Design, Acoustics, Technology",Jury + Popular Choice awards,Annual (spring),Annual,No,Large international awards with many categories; public voting component. Thün / RVTR won Jury Award and Popular Choice for Resonant Chamber (2013).,Thün CV (2013 – Architecture + Sound),https://architizer.com/awards,https://architizer.com/awards/,1
Ragdale Ring Fellowship / Adrian Smith Prize,Ragdale Foundation,competition,"Architecture, Landscape, Temporary Structure","Commission + ~$25,000 prize",Annual; check Ragdale site,Annual,No,Annual competition to design Ragdale Foundation's outdoor performance space. T+E+A+M won for Living Picture (2017). Open to architects and designers.,Miller CV + Abrons CV (2017 winner),https://www.ragdale.org,https://www.ragdale.org/apply,1
Jardin de Métis International Garden Competition,Jardins de Métis / Reford Gardens (Quebec),competition,"Landscape, Garden Design, Architecture",Prize + installation commission,Annual (winter deadline),Annual,No,Prestigious annual garden design competition in Quebec. Open to international teams.,Miller CV (2015),https://www.jardinsdemetis.com/en/international-garden-festival/competition,https://www.jardinsdemetis.com/en/international-garden-festival/competition,1
Architecture League of New York – Folly Competition,The Architectural League of New York + Socrates Sculpture Park,competition,"Architecture, Public Installation",Commission + fabrication budget,Annual (spring),Annual,No,"Annual competition to design a temporary pavilion/folly at Socrates Sculpture Park, NYC.",Miller CV (2015 – Between You & Me),https://archleague.org,https://archleague.org/competitions/,1
Venice Architecture Biennale (US Pavilion / National Pavilions),La Biennale di Venezia,competition,"Architecture, Exhibition, International",Invitation + production support (varies),~18 months before opening,Biennial (odd years),No,Most prestigious international architecture exhibition. T+E+A+M participated in US Pavilion (2016) and Common Ground (2012). Canadian Pavilion (Thün 2016).,Miller CV + Abrons CV (2012; 2016); Thün CV (2016),https://www.labiennale.org/en/architecture,https://www.labiennale.org/en/architecture,1
Chicago Architecture Biennial,Chicago Architecture Biennial,competition,"Architecture, Exhibition",Invitation + production support,~12 months before opening,Biennial (odd years),No,"Major North American biennial, curated by artistic directors. T+E+A+M showed Ghostbox (2017). High visibility for mid-career practices.",Miller CV + Abrons CV (2017 – Ghostbox),https://www.chicagoarchitecturebiennial.org,https://www.chicagoarchitecturebiennial.org/open-call/,1
Canadian Society of Landscape Architects National Award of Excellence,CSLA / AAPC,competition,"Landscape, Architecture, Environmental Design",National award,Annual; check CSLA site,Annual,No,National award for excellence in Canadian landscape architecture. Thün / RVTR won for EXTRACTION exhibition design (2017).,Thün CV (2017),https://www.csla-aapc.ca/awards,https://www.csla-aapc.ca/awards,1
Log (Anyone Corporation),Anyone Corporation,publication,"Architecture, Theory, Criticism",N/A (invited/submitted),Rolling; contact editors,3x/year,Yes,Influential architecture theory journal. Strong platform for architectural speculation and criticism. Frequently cites Taubman work.,Miller CV (multiple); Abrons CV (2016; 2017),https://www.anycorp.com/log,https://www.anycorp.com/log,1
Journal of Architectural Education (JAE),Association of Collegiate Schools of Architecture,publication,"Architecture, Education, Research",N/A (peer-reviewed),Rolling submissions,Quarterly,Yes,Primary peer-reviewed journal for architecture education. ACSA-affiliated. Miller published 2014; Thün published multiple articles.,Miller CV (2014); Thün CV (multiple),https://www.tandfonline.com/toc/rjae20/current,https://www.tandfonline.com/toc/rjae20/current,1
Technology | Architecture + Design (TAD),Taylor & Francis / ACSA,publication,"Architecture, Technology, Environment",N/A (peer-reviewed),Rolling submissions,Biannual,Yes,Peer-reviewed journal focused on building technology and environmental design research. Thün published on climate measures and responsive envelopes.,Thün CV (2018; 2024),https://www.acsa-arch.org,https://www.tandfonline.com/journals/utad20,1
The Avery Review,Columbia GSAPP,publication,"Architecture, Criticism, Theory",N/A (invited/submitted),Rolling; contact editors,Monthly (approx.),Yes,Columbia-affiliated critical platform publishing in-depth design criticism and essays. Miller published 'Views from the Plastisphere' (2016).,Miller CV (2016),https://www.averyreview.com,https://www.averyreview.com/submissions,1
e-flux Architecture,e-flux,publication,"Architecture, Theory, Digital Culture",N/A (invited),Varies by series/volume,Rolling,Yes,Influential online platform with edited volumes and essay series. Abrons co-edited the Becoming Digital volume (2019).,Abrons CV (2019 – Becoming Digital),https://www.e-flux.com/architecture,https://www.e-flux.com/architecture/,1
Actar Publishers,Actar Publishers (Barcelona/New York),publication,"Architecture, Theory, Urban Design",N/A (proposal-based),Rolling; contact editors,Continuous,Yes,"Leading architecture publisher for theory, monographs, and edited volumes. Miller, Abrons, and Thün have all published with Actar.",Miller CV (2021); Abrons CV (2018; 2023); Thün CV (via collaborators),https://actar.com,https://actar.com/contact/,1
Drawing Codes: Experimental Protocols of Architectural Representation,AR+D Publishing / Kudless + Marcus (curators),publication,"Architecture, Representation, Drawing",N/A (peer-reviewed submission),Periodic (multiple volumes),Multi-edition series,No,Traveling exhibition + publication series on experimental architectural drawing. High visibility across multiple architecture schools.,Miller CV + Abrons CV (2019; 2024),https://www.arplusd.com/books/drawing-codes,https://www.arplusd.com/books/drawing-codes,1
